4/29/2023, 8:35 PM;Employee clocked out;Employee 1 clocked out
4/29/2023, 8:35 PM;Employee clocked in;Employee 1 clocked in
4/29/2023, 10:02 PM;Employee clocked in;Employee 1 clocked in
4/29/2023, 10:02 PM;Employee clocked out;Employee 1 clocked out
4/30/2023, 5:53 PM;Order for Table B1;Employee 1 placed an order for Table B1
4/30/2023, 5:56 PM;Order for Table B1;Employee 1 placed an order for Table B1
4/30/2023, 6:12 PM;Employee clocked in;Employee 1 clocked in
4/30/2023, 6:12 PM;Order for Table A1;Employee 1 placed an order for Table A1
4/30/2023, 6:21 PM;Order for Table A1;Employee 1 placed an order for Table A1
4/30/2023, 7:07 PM;Order for Table A1;Employee 1 placed an order for Table A1
4/30/2023, 7:08 PM;Order for Table B2;Employee 1 placed an order for Table B2
